Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08816756,41.51860907,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,770,4.203,163.80,1.000,983.42,10/19/2016,On,20.00,Yes,23.97,20.50,12420,221.78,11685,208.66,In,0.0032,0.0032,0.609,0.00,70.00,4,2.866,6.947,1.643,11.41,0.00013,0.0074,1540.6,0.251,10/19/2016
-85.08816330,41.51859809,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,771,4.321,163.70,1.000,983.41,10/19/2016,On,20.00,Yes,25.91,20.40,13058,233.18,12301,219.66,In,0.0036,0.0032,0.626,0.00,63.00,4,2.946,7.142,1.598,11.41,0.00012,0.0069,1665.4,0.258,10/19/2016
-85.08815892,41.51858727,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,772,4.049,163.40,1.000,983.46,10/19/2016,On,20.00,Yes,28.23,20.40,15185,271.16,14305,255.44,In,0.00046,0.0032,0.586,0.00,69.00,4,2.760,6.692,1.705,11.41,0.00011,0.0063,1814.6,0.242,10/19/2016
-85.08815440,41.51857615,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,773,4.314,163.10,1.000,983.40,10/19/2016,On,20.00,Yes,30.07,20.50,15179,271.06,14281,255.02,In,0.0032,0.0032,0.625,0.00,67.00,4,2.942,7.131,1.600,11.41,0.00011,0.0059,1933.0,0.258,10/19/2016
-85.08814990,41.51856526,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,774,4.222,162.50,1.000,983.47,10/19/2016,On,20.00,Yes,26.40,20.50,13618,243.18,12812,228.79,In,0.0036,0.0032,0.612,0.00,67.00,4,2.879,6.979,1.635,11.41,0.00012,0.0067,1697.2,0.252,10/19/2016
-85.08814512,41.51855417,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,775,4.222,162.80,1.000,983.41,10/19/2016,On,20.00,Yes,24.39,20.50,12580,224.65,11836,211.35,In,-0.00045,0.0034,0.565,0.00,69.00,4,2.879,6.979,1.771,12.36,0.00014,0.0079,1567.8,0.233,10/19/2016
-85.08814054,41.51854312,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,776,4.124,162.90,1.000,983.37,10/19/2016,On,20.00,Yes,20.88,20.50,11027,196.91,10374,185.26,In,0.00046,0.0034,0.551,0.00,69.00,4,2.812,6.817,1.814,12.36,0.00016,0.0092,1342.2,0.227,10/19/2016
-85.08813608,41.51853221,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,777,4.019,162.50,1.000,983.39,10/19/2016,On,20.00,Yes,22.82,20.50,12366,220.83,11635,207.76,In,-0.00045,0.0032,0.582,0.00,69.00,4,2.740,6.643,1.718,11.41,0.00014,0.0078,1467.0,0.240,10/19/2016
-85.08813128,41.51852114,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,778,4.304,162.10,1.000,983.41,10/19/2016,On,20.00,Yes,20.27,20.40,10257,183.16,9662.0,172.54,In,0.0036,0.0032,0.623,0.00,67.00,4,2.935,7.115,1.604,11.41,0.00016,0.0088,1303.1,0.257,10/19/2016
-85.08812670,41.51851060,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,779,4.131,161.70,1.000,983.44,10/19/2016,On,20.00,Yes,19.05,20.40,10042,179.33,9460.0,168.93,In,0.0018,0.0032,0.598,0.00,65.00,4,2.816,6.827,1.672,11.41,0.00017,0.0093,1224.3,0.247,10/19/2016
-85.08812171,41.51849963,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,780,4.232,161.80,1.000,983.54,10/19/2016,On,20.00,Yes,19.75,19.40,10164,181.49,9694.5,173.12,In,2.590e-009,0.0032,0.613,0.00,64.00,4,2.886,6.995,1.631,11.41,0.00016,0.0090,1269.6,0.253,10/19/2016
-85.08811695,41.51848864,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,781,4.222,162.10,1.000,983.43,10/19/2016,On,20.00,Yes,22.10,19.10,11400,203.58,10915,194.90,In,0.0036,0.0032,0.612,0.00,65.00,4,2.879,6.979,1.635,11.41,0.00014,0.0080,1420.8,0.252,10/19/2016
-85.08811206,41.51847774,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,782,4.137,161.90,1.000,983.49,10/19/2016,On,20.00,Yes,23.56,19.60,12405,221.52,11803,210.77,In,2.590e-009,0.0029,0.654,0.00,65.00,4,2.821,6.838,1.530,10.46,0.00012,0.0069,1514.8,0.270,10/19/2016
