Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10593474,41.50273144,DB1-33T16,16/09/27-14:10:23,SOYBEANS,33,3.701,355.10,1.000,996.56,10/24/2016,On,35.00,Yes,1.858,13.00,624.86,10.41,624.86,10.41,In,0.0023,0.0032,0.938,0.00,65.00,3,2.523,10.70,1.066,11.41,0.0017,0.102,111.48,0.221,10/24/2016
-85.10593567,41.50273896,DB1-33T16,16/09/27-14:10:23,SOYBEANS,34,3.412,354.80,1.000,996.74,10/24/2016,On,35.00,Yes,2.887,13.00,1053.0,17.55,1053.0,17.55,In,3.880e-009,0.0032,0.865,0.00,63.00,3,2.326,9.870,1.156,11.41,0.0011,0.066,173.21,0.204,10/24/2016
-85.10593680,41.50274818,DB1-33T16,16/09/27-14:10:23,SOYBEANS,35,3.507,354.70,1.000,996.66,10/24/2016,On,35.00,Yes,3.249,13.00,1153.0,19.22,1153.0,19.22,In,0.0023,0.0029,0.970,0.00,65.00,3,2.391,10.14,1.031,10.46,0.00089,0.054,194.94,0.229,10/24/2016
-85.10593847,41.50275989,DB1-33T16,16/09/27-14:10:23,SOYBEANS,36,3.570,354.00,1.000,996.72,10/24/2016,On,35.00,Yes,4.157,13.00,1449.4,24.16,1449.4,24.16,In,0.0014,0.0032,0.905,0.00,69.00,3,2.434,10.33,1.105,11.41,0.00076,0.046,249.42,0.213,10/24/2016
-85.10594006,41.50276912,DB1-33T16,16/09/27-14:10:23,SOYBEANS,37,3.510,352.50,1.000,996.83,10/24/2016,On,35.00,Yes,5.844,13.00,2071.7,34.53,2071.7,34.53,In,0.0023,0.0032,0.890,0.00,67.00,3,2.394,10.15,1.124,11.41,0.00054,0.033,350.61,0.210,10/24/2016
-85.10594237,41.50277846,DB1-33T16,16/09/27-14:10:23,SOYBEANS,38,3.386,347.50,1.000,996.90,10/24/2016,On,35.00,Yes,6.188,13.00,2274.7,37.91,2274.7,37.91,In,0.0014,0.0032,0.858,0.00,72.00,3,2.309,9.794,1.165,11.41,0.00051,0.031,371.29,0.202,10/24/2016
-85.10594588,41.50278774,DB1-33T16,16/09/27-14:10:23,SOYBEANS,39,3.491,341.90,1.000,996.92,10/24/2016,On,35.00,Yes,5.695,13.00,2030.3,33.84,2030.3,33.84,In,0.0018,0.0034,0.817,0.00,63.00,3,2.380,10.10,1.224,12.36,0.00060,0.036,341.67,0.193,10/24/2016
-85.10594975,41.50279491,DB1-33T16,16/09/27-14:10:23,SOYBEANS,40,3.507,337.40,1.000,996.98,10/24/2016,On,35.00,Yes,6.194,13.00,2198.0,36.63,2198.0,36.63,In,0.0018,0.0032,0.889,0.00,64.00,3,2.391,10.14,1.125,11.41,0.00051,0.031,371.64,0.210,10/24/2016
-85.10595652,41.50280551,DB1-33T16,16/09/27-14:10:23,SOYBEANS,41,3.504,331.70,1.000,996.79,10/24/2016,On,35.00,Yes,3.890,13.00,1381.7,23.03,1381.7,23.03,In,0.0023,0.0032,0.888,0.00,67.00,3,2.389,10.14,1.126,11.41,0.00081,0.049,233.40,0.209,10/24/2016
-85.10596334,41.50281386,DB1-33T16,16/09/27-14:10:23,SOYBEANS,42,3.481,327.10,1.000,996.83,10/24/2016,On,35.00,Yes,2.016,13.00,720.66,12.01,720.66,12.01,In,-0.0023,0.0032,0.882,0.00,67.00,3,2.373,10.07,1.133,11.41,0.0016,0.094,120.94,0.208,10/24/2016
-85.10596831,41.50281902,DB1-33T16,16/09/27-14:10:23,SOYBEANS,43,3.028,323.60,1.000,996.88,10/24/2016,On,35.00,Yes,3.533,13.00,1452.0,24.20,1452.0,24.20,In,-0.0018,0.0032,0.768,0.00,65.00,3,2.065,8.759,1.303,11.41,0.00090,0.054,211.98,0.181,10/24/2016
-85.10597717,41.50282685,DB1-33T16,16/09/27-14:10:23,SOYBEANS,44,3.058,319.50,1.000,996.74,10/24/2016,On,35.00,Yes,4.508,13.00,1835.0,30.58,1835.0,30.58,In,0.0018,0.0032,0.775,0.00,73.00,3,2.085,8.845,1.290,11.41,0.00070,0.042,270.50,0.183,10/24/2016
-85.10598364,41.50283212,DB1-33T16,16/09/27-14:10:23,SOYBEANS,45,3.235,316.80,1.000,996.70,10/24/2016,On,35.00,Yes,4.646,13.00,1787.5,29.79,1787.5,29.79,In,0.0018,0.0034,0.757,0.00,64.00,3,2.206,9.357,1.321,12.36,0.00074,0.044,278.76,0.178,10/24/2016
-85.10599394,41.50283927,DB1-33T16,16/09/27-14:10:23,SOYBEANS,46,3.153,312.80,1.000,996.70,10/24/2016,On,35.00,Yes,3.831,13.00,1512.2,25.20,1512.2,25.20,In,-0.0014,0.0032,0.799,0.00,60.00,3,2.150,9.120,1.251,11.41,0.00083,0.050,229.85,0.188,10/24/2016
