Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08702004,41.52063210,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,27,5.203,90.70,1.000,992.98,10/19/2016,On,20.00,Yes,24.80,18.20,10379,185.34,10048,179.42,In,-0.00046,0.0034,0.696,0.00,68.00,1,3.548,8.601,1.437,12.36,0.00014,0.0078,1594.1,0.287,10/19/2016
-85.08700119,41.52063191,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,28,5.217,89.90,1.000,993.05,10/19/2016,On,20.00,Yes,23.25,18.50,9708.7,173.37,9364.0,167.21,In,-0.0032,0.0034,0.697,0.00,72.00,1,3.557,8.622,1.434,12.36,0.00015,0.0083,1494.8,0.288,10/19/2016
-85.08698180,41.52063177,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,29,5.157,90.10,1.000,993.13,10/19/2016,On,20.00,Yes,20.92,18.70,8835.9,157.78,8501.3,151.81,In,-0.00046,0.0032,0.747,0.00,65.00,1,3.516,8.525,1.339,11.41,0.00015,0.0085,1345.1,0.308,10/19/2016
-85.08696251,41.52063175,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,30,5.292,89.70,1.000,993.21,10/19/2016,On,20.00,Yes,20.79,18.80,8558.4,152.83,8224.2,146.86,In,-0.0018,0.0032,0.766,0.00,72.00,1,3.608,8.747,1.305,11.41,0.00015,0.0085,1336.8,0.316,10/19/2016
-85.08694341,41.52063176,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,31,5.407,89.40,1.000,993.31,10/19/2016,On,20.00,Yes,20.72,18.70,8346.4,149.04,8030.3,143.40,In,-0.00046,0.0034,0.723,0.00,69.00,1,3.686,8.937,1.383,12.36,0.00017,0.0093,1332.0,0.298,10/19/2016
-85.08692356,41.52063181,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,32,5.397,89.30,1.000,993.46,10/19/2016,On,20.00,Yes,21.79,18.40,8793.8,157.03,8492.0,151.64,In,-0.00046,0.0034,0.722,0.00,69.00,1,3.680,8.921,1.386,12.36,0.00016,0.0088,1400.8,0.298,10/19/2016
-85.08690350,41.52063189,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,33,5.522,89.30,1.000,993.38,10/19/2016,On,20.00,Yes,24.01,19.80,9471.0,169.13,8989.1,160.52,In,-0.0018,0.0032,0.800,0.00,65.00,1,3.765,9.127,1.250,11.41,0.00013,0.0074,1543.6,0.330,10/19/2016
-85.08688375,41.52063193,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,34,5.374,89.60,1.000,993.39,10/19/2016,On,20.00,Yes,26.51,20.20,10743,191.84,10145,181.17,In,-0.0018,0.0032,0.778,0.00,64.00,1,3.664,8.883,1.285,11.41,0.00012,0.0067,1704.0,0.321,10/19/2016
-85.08686393,41.52063187,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,35,5.430,90.30,1.000,993.39,10/19/2016,On,20.00,Yes,26.47,20.00,10617,189.58,10051,179.49,In,-0.0018,0.0029,0.858,0.00,64.00,1,3.702,8.975,1.166,10.46,0.00011,0.0061,1701.5,0.354,10/19/2016
-85.08684389,41.52063168,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,36,5.492,90.50,1.000,993.36,10/19/2016,On,20.00,Yes,24.04,19.20,9535.1,170.27,9117.5,162.81,In,-0.00046,0.0032,0.795,0.00,64.00,1,3.745,9.078,1.257,11.41,0.00013,0.0074,1545.7,0.328,10/19/2016
