Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10480057,41.51164518,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,11,2.618,257.40,1.000,959.91,10/18/2016,On,33.80,Yes,7.820,13.00,3849.6,64.16,3849.6,64.16,In,0.603,0.0034,0.592,0.00,73.00,1,1.785,7.313,1.691,12.36,0.00044,0.026,469.21,0.144,10/18/2016
-85.10481189,41.51164325,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,12,2.638,259.30,1.000,959.91,10/18/2016,On,33.80,Yes,8.469,13.00,4137.8,68.96,4137.8,68.96,In,0.603,0.0034,0.596,0.00,68.00,1,1.798,7.368,1.678,12.36,0.00041,0.024,508.13,0.145,10/18/2016
-85.10481901,41.51164225,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,13,2.530,260.40,1.000,959.95,10/18/2016,On,33.80,Yes,7.811,13.00,3979.9,66.33,3979.9,66.33,In,0.601,0.0034,0.572,0.00,72.00,1,1.725,7.066,1.750,12.36,0.00044,0.026,468.68,0.140,10/18/2016
-85.10482949,41.51164091,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,14,2.510,261.90,1.000,960.09,10/18/2016,On,33.80,Yes,7.047,13.00,3618.7,60.31,3618.7,60.31,In,0.600,0.0034,0.567,0.00,70.00,1,1.711,7.011,1.763,12.36,0.00049,0.029,422.83,0.138,10/18/2016
-85.10483762,41.51163998,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,15,2.972,262.70,1.000,960.10,10/18/2016,On,33.80,Yes,8.540,13.00,3702.8,61.71,3702.8,61.71,In,0.604,0.0034,0.672,0.00,76.00,1,2.027,8.303,1.489,12.36,0.00040,0.024,512.40,0.164,10/18/2016
-85.10484994,41.51163906,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,16,2.976,264.70,1.000,960.31,10/18/2016,On,33.80,Yes,8.807,13.00,3814.2,63.57,3814.2,63.57,In,0.602,0.0037,0.624,0.00,74.00,1,2.029,8.312,1.602,13.31,0.00042,0.025,528.39,0.152,10/18/2016
-85.10485824,41.51163856,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,17,2.959,265.90,1.000,960.35,10/18/2016,On,33.80,Yes,7.862,13.00,3423.8,57.06,3423.8,57.06,In,0.601,0.0037,0.621,0.00,73.00,1,2.018,8.266,1.611,13.31,0.00047,0.028,471.70,0.152,10/18/2016
-85.10487064,41.51163806,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,18,2.966,267.40,1.000,960.47,10/18/2016,On,33.80,Yes,7.782,13.00,3381.5,56.36,3381.5,56.36,In,0.600,0.0034,0.670,0.00,73.00,1,2.022,8.285,1.492,12.36,0.00044,0.026,466.90,0.164,10/18/2016
-85.10487894,41.51163789,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,19,2.986,267.80,1.000,960.59,10/18/2016,On,33.80,Yes,7.951,13.00,3432.0,57.20,3432.0,57.20,In,0.600,0.0034,0.675,0.00,74.00,1,2.036,8.340,1.482,12.36,0.00043,0.026,477.03,0.165,10/18/2016
-85.10489151,41.51163764,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,20,2.949,268.20,1.000,960.78,10/18/2016,On,33.80,Yes,7.266,13.00,3175.1,52.92,3175.1,52.92,In,0.600,0.0037,0.619,0.00,74.00,1,2.011,8.239,1.616,13.31,0.00051,0.031,435.98,0.151,10/18/2016
-85.10490031,41.51163755,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,21,3.025,268.60,1.000,960.76,10/18/2016,On,33.80,Yes,8.362,13.00,3562.8,59.38,3562.8,59.38,In,0.604,0.0037,0.635,0.00,78.00,1,2.062,8.450,1.576,13.31,0.00044,0.027,501.74,0.155,10/18/2016
-85.10491305,41.51163747,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,22,2.979,268.90,1.000,960.95,10/18/2016,On,33.80,Yes,7.791,13.00,3370.4,56.17,3370.4,56.17,In,0.602,0.0037,0.625,0.00,72.00,1,2.031,8.321,1.600,13.31,0.00047,0.028,467.44,0.153,10/18/2016
