Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Protein(%),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08019354,41.49879312,I-13 P0909,16/11/07-10:53:55,CORN,84,5.194,1.800,1.000,993.30,11/7/2016,On,20.00,Yes,14.91,19.90,6253.4,111.67,5927.8,105.85,In,-0.0014,6553.5,0.0029,0.821,0.00,60.00,1,3.541,8.584,1.219,10.46,0.00019,0.011,958.60,0.338,11/7/2016
-85.08019248,41.49880701,I-13 P0909,16/11/07-10:53:55,CORN,85,5.194,4.200,1.000,993.39,11/7/2016,On,20.00,Yes,14.51,19.90,6083.5,108.63,5766.8,102.98,In,-0.0014,6553.5,0.0029,0.821,0.00,67.00,1,3.541,8.584,1.219,10.46,0.00020,0.011,932.56,0.338,11/7/2016
-85.08019050,41.49882074,I-13 P0909,16/11/07-10:53:55,CORN,86,4.829,7.200,1.000,993.46,11/7/2016,On,20.00,Yes,13.42,19.90,6053.4,108.10,5738.2,102.47,In,-0.0027,6553.5,0.0029,0.763,0.00,58.00,1,3.293,7.982,1.311,10.46,0.00022,0.012,862.87,0.315,11/7/2016
-85.08018806,41.49883237,I-13 P0909,16/11/07-10:53:55,CORN,87,4.373,9.800,1.000,993.67,11/7/2016,On,20.00,Yes,12.42,19.90,6185.0,110.45,5863.0,104.70,In,-0.0027,6553.5,0.0026,0.760,0.00,61.00,1,2.982,7.229,1.316,9.510,0.00021,0.012,798.38,0.314,11/7/2016
-85.08018486,41.49884336,I-13 P0909,16/11/07-10:53:55,CORN,88,4.285,12.80,1.000,993.72,11/7/2016,On,20.00,Yes,12.96,19.90,6588.4,117.65,6245.4,111.52,In,-0.0027,6553.5,0.0026,0.745,0.00,64.00,1,2.921,7.082,1.343,9.510,0.00020,0.011,833.23,0.307,11/7/2016
-85.08018110,41.49885405,I-13 P0909,16/11/07-10:53:55,CORN,89,3.917,16.40,1.000,993.79,11/7/2016,On,20.00,Yes,12.92,19.90,7185.6,128.32,6811.5,121.63,In,-0.0014,6553.5,0.0029,0.619,0.00,55.00,1,2.671,6.475,1.616,10.46,0.00022,0.013,830.83,0.255,11/7/2016
-85.08017767,41.49886178,I-13 P0909,16/11/07-10:53:55,CORN,90,3.737,18.80,1.000,993.85,11/7/2016,On,20.00,Yes,12.43,19.90,7245.7,129.39,6868.4,122.65,In,-0.0036,6553.5,0.0026,0.649,0.00,61.00,1,2.548,6.177,1.540,9.510,0.00021,0.012,799.18,0.268,11/7/2016
-85.08017194,41.49887235,I-13 P0909,16/11/07-10:53:55,CORN,91,3.553,23.50,1.000,993.94,11/7/2016,On,20.00,Yes,13.81,20.00,8463.6,151.14,8012.8,143.09,In,-0.0014,6553.5,0.0029,0.561,0.00,63.00,1,2.423,5.873,1.781,10.46,0.00021,0.012,887.61,0.232,11/7/2016
-85.08016708,41.49887972,I-13 P0909,16/11/07-10:53:55,CORN,92,3.553,25.60,1.000,993.94,11/7/2016,On,20.00,Yes,15.10,20.00,9257.6,165.31,8764.6,156.51,In,-0.0014,6553.5,0.0026,0.618,0.00,63.00,1,2.423,5.873,1.619,9.510,0.00017,0.0098,970.88,0.255,11/7/2016
-85.08015984,41.49888925,I-13 P0909,16/11/07-10:53:55,CORN,93,3.465,30.30,1.000,994.01,11/7/2016,On,20.00,Yes,10.00,20.00,6288.2,112.29,5953.4,106.31,In,-0.0036,6553.5,0.0029,0.547,0.00,63.00,1,2.362,5.727,1.827,10.46,0.00029,0.016,643.03,0.226,11/7/2016
-85.08015424,41.49889556,I-13 P0909,16/11/07-10:53:55,CORN,94,3.645,33.60,1.000,994.14,11/7/2016,On,20.00,Yes,7.613,20.00,4548.9,81.23,4306.7,76.91,In,-0.0032,6553.5,0.0029,0.576,0.00,61.00,1,2.485,6.025,1.736,10.46,0.00038,0.021,489.40,0.238,11/7/2016
-85.08014461,41.49890517,I-13 P0909,16/11/07-10:53:55,CORN,95,3.553,37.50,1.000,994.12,11/7/2016,On,20.00,Yes,8.913,20.00,5463.7,97.57,5172.7,92.37,In,-2.563e-008,6553.5,0.0026,0.618,0.00,59.00,1,2.423,5.873,1.619,9.510,0.00030,0.017,573.00,0.255,11/7/2016
-85.08013828,41.49891105,I-13 P0909,16/11/07-10:53:55,CORN,96,3.553,39.70,1.000,994.10,11/7/2016,On,20.00,Yes,11.21,20.00,6872.6,122.73,6506.7,116.19,In,0.00046,6553.5,0.0026,0.618,0.00,60.00,1,2.423,5.873,1.619,9.510,0.00024,0.013,720.76,0.255,11/7/2016
-85.08012809,41.49891908,I-13 P0909,16/11/07-10:53:55,CORN,97,3.645,43.90,1.000,994.23,11/7/2016,On,20.00,Yes,10.26,20.10,6130.5,109.47,5796.8,103.51,In,0.00091,6553.5,0.0029,0.576,0.00,64.00,1,2.485,6.025,1.736,10.46,0.00028,0.016,659.56,0.238,11/7/2016
-85.08012046,41.49892481,I-13 P0909,16/11/07-10:53:55,CORN,98,3.917,44.60,1.000,994.25,11/7/2016,On,20.00,Yes,10.16,20.10,5647.3,100.85,5339.9,95.36,In,-0.0014,6553.5,0.0029,0.619,0.00,56.00,1,2.671,6.475,1.616,10.46,0.00029,0.016,652.96,0.255,11/7/2016
-85.08010914,41.49893298,I-13 P0909,16/11/07-10:53:55,CORN,99,3.737,45.00,1.000,994.36,11/7/2016,On,20.00,Yes,9.222,20.10,5375.1,95.98,5082.5,90.76,In,-0.0032,6553.5,0.0026,0.649,0.00,59.00,1,2.548,6.177,1.540,9.510,0.00029,0.016,592.86,0.268,11/7/2016
-85.08010151,41.49893840,I-13 P0909,16/11/07-10:53:55,CORN,100,3.829,45.40,1.000,994.42,11/7/2016,On,20.00,Yes,7.831,20.10,4454.9,79.55,4212.4,75.22,In,0.00046,6553.5,0.0026,0.665,0.00,56.00,1,2.611,6.328,1.503,9.510,0.00034,0.019,503.44,0.274,11/7/2016
-85.08009002,41.49894664,I-13 P0909,16/11/07-10:53:55,CORN,101,3.009,45.70,1.000,994.47,11/7/2016,On,20.00,Yes,7.421,20.10,5372.3,95.93,5079.8,90.71,In,-0.0036,6553.5,0.0026,0.523,0.00,61.00,1,2.051,4.973,1.912,9.510,0.00036,0.020,477.06,0.216,11/7/2016
-85.08008680,41.49894891,I-13 P0909,16/11/07-10:53:55,CORN,102,3.009,45.80,1.000,994.57,11/7/2016,On,20.00,Yes,7.421,20.10,5372.3,95.93,5079.8,90.71,In,-0.0014,6553.5,0.0026,0.523,0.00,61.00,1,2.051,4.973,1.912,9.510,0.00036,0.020,477.06,0.216,11/7/2016
-85.08016539,41.49885393,I-13 P0909,16/11/07-10:53:55,CORN,103,4.921,54.60,1.000,993.66,11/7/2016,On,20.00,Yes,5.765,20.20,2551.3,45.56,2409.4,43.02,In,-0.0014,6553.5,0.0024,0.950,0.00,54.00,1,3.355,8.134,1.052,8.559,0.00041,0.023,370.59,0.392,11/7/2016
-85.08015059,41.49886154,I-13 P0909,16/11/07-10:53:55,CORN,104,5.105,55.50,1.000,993.66,11/7/2016,On,20.00,Yes,8.853,20.20,3777.0,67.45,3566.9,63.70,In,-0.0032,6553.5,0.0024,0.986,0.00,50.00,1,3.481,8.438,1.014,8.559,0.00027,0.015,569.11,0.407,11/7/2016
-85.08013660,41.49886834,I-13 P0909,16/11/07-10:53:55,CORN,105,4.921,56.60,1.000,993.72,11/7/2016,On,20.00,Yes,8.682,20.20,3842.4,68.61,3628.7,64.80,In,-0.0027,6553.5,0.0024,0.950,0.00,53.00,1,3.355,8.134,1.052,8.559,0.00027,0.015,558.12,0.392,11/7/2016
-85.08012204,41.49887503,I-13 P0909,16/11/07-10:53:55,CORN,106,4.829,58.00,1.000,993.79,11/7/2016,On,20.00,Yes,5.941,20.20,2679.5,47.85,2530.4,45.19,In,-2.112e-008,6553.5,0.0024,0.933,0.00,55.00,1,3.293,7.982,1.072,8.559,0.00040,0.022,381.94,0.385,11/7/2016
-85.08010978,41.49888027,I-13 P0909,16/11/07-10:53:55,CORN,107,4.921,59.60,1.000,993.84,11/7/2016,On,20.00,Yes,7.126,20.20,3154.0,56.32,2978.5,53.19,In,-0.0014,6553.5,0.0024,0.950,0.00,56.00,1,3.355,8.134,1.052,8.559,0.00033,0.019,458.13,0.392,11/7/2016
-85.08009189,41.49888791,I-13 P0909,16/11/07-10:53:55,CORN,108,4.738,59.20,1.000,993.92,11/7/2016,On,20.00,Yes,9.565,20.20,4397.4,78.52,4152.8,74.16,In,-0.0014,6553.5,0.0026,0.823,0.00,58.00,1,3.230,7.831,1.214,9.510,0.00028,0.015,614.90,0.340,11/7/2016
-85.08007842,41.49889349,I-13 P0909,16/11/07-10:53:55,CORN,109,4.829,62.20,1.000,994.00,11/7/2016,On,20.00,Yes,11.52,20.20,5193.2,92.74,4904.3,87.58,In,-0.0014,6553.5,0.0026,0.839,0.00,61.00,1,3.293,7.982,1.191,9.510,0.00023,0.013,740.25,0.346,11/7/2016
-85.08006339,41.49889919,I-13 P0909,16/11/07-10:53:55,CORN,110,4.557,63.80,1.000,993.95,11/7/2016,On,20.00,Yes,9.480,20.20,4530.7,80.90,4278.7,76.40,In,-0.0032,6553.5,0.0029,0.720,0.00,67.00,1,3.107,7.532,1.389,10.46,0.00031,0.017,609.40,0.297,11/7/2016
-85.08004796,41.49890466,I-13 P0909,16/11/07-10:53:55,CORN,111,4.921,64.60,1.000,994.07,11/7/2016,On,20.00,Yes,9.092,20.20,4023.9,71.86,3800.1,67.86,In,0.00046,6553.5,0.0032,0.713,0.00,56.00,1,3.355,8.134,1.403,11.41,0.00035,0.020,584.50,0.294,11/7/2016
-85.08003248,41.49890979,I-13 P0909,16/11/07-10:53:55,CORN,112,4.829,66.10,1.000,994.22,11/7/2016,On,20.00,Yes,8.500,20.20,3833.2,68.45,3620.0,64.64,In,0.00046,6553.5,0.0026,0.839,0.00,63.00,1,3.293,7.982,1.191,9.510,0.00031,0.017,546.40,0.346,11/7/2016
-85.08001706,41.49891467,I-13 P0909,16/11/07-10:53:55,CORN,113,4.829,66.90,1.000,994.42,11/7/2016,On,20.00,Yes,4.654,20.20,2098.8,37.48,1982.1,35.39,In,-0.0036,6553.5,0.0029,0.763,0.00,59.00,1,3.293,7.982,1.311,10.46,0.00062,0.035,299.18,0.315,11/7/2016
-85.08000833,41.49891713,I-13 P0909,16/11/07-10:53:55,CORN,114,3.465,68.20,1.000,994.32,11/7/2016,On,20.00,Yes,6.448,20.20,4053.8,72.39,3828.3,68.36,In,-0.0014,6553.5,0.0026,0.602,0.00,53.00,1,2.362,5.727,1.661,9.510,0.00041,0.023,414.54,0.248,11/7/2016
-85.07999001,41.49890623,I-13 P0909,16/11/07-10:53:55,CORN,115,6.745,82.10,1.000,994.75,11/7/2016,On,20.00,Yes,4.289,20.10,1385.0,24.73,1309.6,23.39,In,0.00091,6553.5,0.0026,1.172,0.00,55.00,1,4.599,11.15,0.853,9.510,0.00062,0.034,275.75,0.484,11/7/2016
-85.07996818,41.49890813,I-13 P0909,16/11/07-10:53:55,CORN,116,6.378,82.70,1.000,994.68,11/7/2016,On,20.00,Yes,4.904,20.10,1674.8,29.91,1583.6,28.28,In,-0.0014,6553.5,0.0026,1.108,0.00,51.00,1,4.349,10.54,0.902,9.510,0.00054,0.030,315.28,0.457,11/7/2016
-85.07995260,41.49890920,I-13 P0909,16/11/07-10:53:55,CORN,117,4.738,84.70,1.000,994.80,11/7/2016,On,20.00,Yes,6.691,20.10,3076.2,54.93,2908.7,51.94,In,0.00046,6553.5,0.0024,0.915,0.00,50.00,1,3.230,7.831,1.093,8.559,0.00036,0.020,430.15,0.377,11/7/2016
-85.07994316,41.49890963,I-13 P0909,16/11/07-10:53:55,CORN,118,3.645,85.80,1.000,994.93,11/7/2016,On,20.00,Yes,8.418,20.10,5030.3,89.83,4756.5,84.94,In,-2.573e-008,6553.5,0.0024,0.704,0.00,51.00,1,2.485,6.025,1.421,8.559,0.00028,0.016,541.19,0.290,11/7/2016
